Date,Coin,website,Headline,Text,Link
2018-01-08 06:50:00,Ripple,cnbc,Ripple will be bigger than bitcoin if it hits $7,"Market capitalization has become an obsession with many cryptocurrency watchers. It refers to the value of the entire digital currency in circulation and is worked out by multiplying the supply of the virtual coin by the price per unit. With bitcoin, the largest cyrptocurrency by market cap, having a quiet start to the year, many investors are looking at alternative cryptocoins. Ethereum and ripple, for example, have seen fairly strong rallies to begin the year. And many are wondering which one could usurp bitcoin as the biggest cryptocurrency. Ethereum and ripple have been jostling for the second spot, and that has changed depending on price.  That jostling turned volatile on Monday as the price of ripple tumbled. Bitcoin also fell, while ethereum gained in value. Ripple's current circulation is 38,739,144,847 digital coins. At Monday's earlier price of $2.49, its market cap was $96.46 billion, according to CoinMarketCap.com. Bitcoin's market cap, meanwhile, was $254.2 billion on Monday. For ripple to surpass this, the cryptocurrency would only need to get to $6.57. This would require a rise of 164 percent. It rose nearly 36,000 percent last year. Ethereum has a circulating supply of 96,846,982. Its current price is $1,119, according to CoinMarketCap. Its market cap is $108.3 billion. Ether would need to rise to around $2,700 to surpass bitcoin's value. This would require a 134 percent rally from Monday morning's price, which is smaller than the rise required by ripple. Both these cryptocurrencies benefit from having larger circulating supplies than bitcoin. It means the price of each digital coin can be lower to achieve a higher market cap. Bitcoin's supply is capped at 21 million with the current supply standing at 16,789,425. With bitcoin's dominance standing at record lows, and alternative cryptocurrencies seeing big price leaps, it's not inconceivable that either ether or ripple could claim the top spot in terms of market cap soon. Of course, if bitcoin sees a surge in price this year, it will make it harder for either cryptocurrency to surpass it. Still, some experts have suggested that ripple has run ahead of itself. Ripple works with large institutions and unlike bitcoin, many of the coins are actually owned by the company. This means it's not as decentralized as bitcoin is.   Playing Share this video... Watch Next...",https://www.cnbc.com/2018/01/08/ripple-xrp-market-cap-bigger-than-bitcoin-if-price-hits-7.html
2018-01-08 10:10:00,Ripple,cnbc,"Cryptocurrencies are falling, led by ripple, bitcoin","Digital currencies fell broadly on Monday, with ripple and bitcoin leading the charge lower. Ripple traded 10 percent lower at $2.46 on the Bitstamp exchange. Coinmarketcap.com showed its price down nearly 25 percent, but it appeared that may be due to the site excluding certain prices from Korean exchanges.   Bitcoin was off by 7.6 percent, while litecoin fell 6.4 percent according to Coinbase. Bitcoin futures also fell 10.5 percent at the Cboe, trading at $15,010 as of 4:15 p.m. New York time.  Ethereum prices, however, traded 4.7 percent higher at $1,143.56. Ripple left counterparts like bitcoin, the largest digital currency by market cap, in the dust last year. In 2017, ripple soared 35,000 percent, while bitcoin rose 1,500 percent. Contrary to many digital currencies, ripple has been working with large institutions, giving it an aura of legitimacy and practicality. However, cryptocurrency enthusiasts say centralization is the exact opposite of what the technology of the digital currencies should be about. ""The reason ripple is surging so much is it's a bubble,"" said Erik Voorhees, CEO of digital asset exchange ShapeShift and a vocal advocate for bitcoin as a way to separate money and the state. ""Testing crypto with banks doesn't make sense. The whole idea of crypto is you don't need banks."" Ripple is officially the name of a 5-year-old start-up based in San Francisco that is developing a payments network for financial institutions. XRP is the name of the coin participants can use for transactions. —CNBC's Evelyn Cheng contributed to this report.  Playing Share this video... Watch Next...",https://www.cnbc.com/2018/01/08/cryptocurrency-ripple-crashes-30-percent-in-24-hours-bitcoin-also-dropping.html
2018-01-08 10:58:00,Ripple,cnbc,Seagate shares surge after speculation over its Ripple company ownership size,"Seagate shares rallied Monday after a report speculated on the size of its early investments in cryptocurrency company Ripple. Seagate is an investor in Ripple, but the size of that investment could not be verified by CNBC. Seagate and Ripple did not immediately respond to requests for comment.  The data storage company's stock rose as much as 16 percent shortly after the market open before paring its gains to 6.5 percent. The market cap of the ripple cryptocurrency is more than $80 billion even after a drop on Monday, according CoinMarketCap. It is the third-largest digital currency in the world. The start-up owns 61 percent of the 100 billion XRP coins in existence, which are also referred to as ripple. Seagate's investment in Ripple has been widely covered in previous years. It is listed as one of Ripple's investors on the company's website. The data storage company invested in Ripple's Series A financing round in May 2015. It also participated in a Series B investment in September 2016. There were no details given on the size of Seagate's investments in Ripple's press release.  ",https://www.cnbc.com/2018/01/08/seagate-shares-surge-after-speculation-over-its-ripple-ownership-size.html
2018-01-08 13:53:00,Ripple,cnbc,Wall Street analysts peg Seagate’s stake in Ripple company at 2-4% as data storage stock soars,"Investors are buzzing over a report that speculated on the size of Seagate's early investments in cryptocurrency company Ripple and now Wall Street is weighing in. ""Seagate is up sharply this morning as investors react to Seagate's stake in Ripple Labs, creator and developer of the namesake cryptocurrency 'Ripple' (XRP),"" RBC Capital analyst Amit Daryanani wrote in a note to clients Monday. ""Based on management discussion, we understand STX has a 2-3% stake in the company, which it gained by participating in Series A and B rounds in 2015 and 2016."" The data storage company's stock rose as much as 16 percent shortly after the market open Monday before paring its gains to 7 percent. The start-up owns 61 percent of the 100 billion XRP coins in existence, which are also referred to as ripple. ""We think any indirect cryptocurrency ownership should be discounted somewhat due to inherent volatility and liquidity concerns,"" Daryanani wrote. In similar fashion, Susquehanna told its clients it estimated Seagate owned 2 to 4 percent of the Ripple company. ""STX's investment in Ripple Labs is intriguing, but we do not view this as a material upside driver given that it is an equity investment (not token ownership) and as such, is not a source of liquid cash,"" analyst Mehdi Hosseini wrote Monday. Ripple cryptocurrency's market cap is more than $90 billion even after a drop on Monday, according CoinMarketCap. It is the third-largest digital currency in the world. Seagate's investment in Ripple has been widely covered in previous years. It is listed as one of Ripple's investors on the company's website. The size of that investment could not be verified by CNBC. Seagate and Ripple did not respond to requests for comment. — CNBC's Michael Bloom contributed to this story. ",https://www.cnbc.com/2018/01/08/wall-street-analysts-estimate-seagates-stake-in-ripple-company.html
2018-01-09 10:39:00,Ripple,cnbc,"Cryptocurrency ripple falls again, adds to sharp losses from the previous day","Cryptocurrency ripple fell Tuesday on the Bitstamp exchange, adding to sharp losses from the previous day. The price of the digital currency dropped 12.8 percent and was at $2.12 as of 4:56 p.m. ET. Ripple shed more than 8 percent Monday as prices of several digital currencies also declined. Bitcoin briefly dropped more than 10 percent before finishing the day down about 2 percent. Litecoin also fell Monday. Coinmarketcap.com, an industry site, showed ripple down more than 30 percent at one point on Monday. The sharp move lower appeared to be a reflection of the site excluding certain prices from Korean exchanges. Other sites and exchanges showed ripple down more than 10 percent at the time. Ripple's price gain last year left major cryptocurrencies like bitcoin in the dust. In 2017, ripple soared 35,000 percent, while bitcoin rose 1,500 percent. However, some experts say the digital currency, which is also called XRP, may have run ahead of itself. ""Definitely the ripple ecosystem is definitely going to have to get a lot bigger to justify where XRP is right now,"" Michael Graham, an analyst at Canaccord Genuity, said last week. But he also said ""the use case for XRP is quite clear. That sets it apart from other crypto assets."" Ripple is officially the name of a San Francisco company that is developing a payments network for financial institutions. XRP is the name of the coin that Ripple participants can use for transactions. The company has also said that more than 100 financial institutions are using its network in some capacity.  Playing Share this video... Watch Next...",https://www.cnbc.com/2018/01/09/cryptocurrency-ripple-falls-again-adds-to-sharp-losses-from-the-previous-day.html
2018-01-09 16:20:00,Ripple,cnbc,"Bill Miller says he's started a separate bitcoin fund, believes ripple run has gone too far","Investor Bill Miller said he has split most of his fund's bitcoin holdings into a separate fund. The founder of Miller Value Partners said Tuesday on CNBC's ""Closing Bell"" that the fund had moved 90 percent of its bitcoin holdings to a separate fund, with the main fund retaining a 10 percent weighting in bitcoin and its offshoot, bitcoin cash. This is after the cryptocurrency's meteoric rise in value last year. CNBC reported in December that Miller said half the value of his fund was in bitcoin. He said they began buying bitcoin in 2014 or 2015, at an average cost of about $350. Bitcoin is currently trading near $14,935, according to CryptocurrencyMarket.com. Moving it to a separate fund allows investors to decide whether they want to continue to hold or sell it, he told CNBC. Digital currencies have grabbed a lot of attention from investors because of their quick and steep gains in the last few months. A coin created by the start-up Ripple dropped 10 percent earlier Tuesday after soaring 35,000 percent last year. Miller told CNBC on Tuesday that the rally in ripple, which is currently trading around $2.18, was ""way overdone."" But the interest in new digital coins hasn't gone away. Also on Tuesday, Kodak, a 130-year-old company, announced it will roll out its own digital currency as part of a new photography royalty tracking product. ""There's probably something out there that makes sense but it takes a lot of digging to find it,"" Miller said about the wave of newer, much cheaper alternatives to bitcoin. ""It's not exactly, I'd say, careful evaluation going on."" Miller founded his fund in 2016 after 35 years as a manager at Legg Mason, where he rose to celebrity by beating the S&P 500 15 years in a row through 2005. He earned a reputation for taking concentrated bets. His fund currently holds bank stocks such as Citigroup, Bank of America and J.P. Morgan.  Playing Share this video... Watch Next...",https://www.cnbc.com/2018/01/09/bill-miller-says-he-has-split-most-of-his-bitcoin-holdings-into-separate-fund.html
2018-01-16 14:29:00,Ripple,cnbc,Ripple is sitting on close to $80 billion and could cash out hundreds of millions per month — but it isn't,"Sixteen months ago, Ripple raised $55 million by selling equity in a typical Silicon Valley funding round from strategic investors, following earlier financing from Alphabet's GV (Google Ventures), Andreessen Horowitz and others. The round placed the value of the company around  $400 million. Today the San Francisco start-up could bring in many times that amount of cash every month -- if it wanted to -- without giving up any company ownership or control.  Ripple develops software that banks use for fast global financial settlements. But almost all of its current value comes from being the creator and majority holder of XRP, a digital currency that was obscure a year ago, but now has a total market value of about $130 billion.  XRP, which trades publicly like bitcoin, went on an inexplicable rally starting last year. Even after plummeting from a high of $3.84 in early January to $1.30 (including a 30 percent drop on Tuesday), it's still up almost 200-fold in the past 12 months.  Ripple owns about 60 billion of the 100 billion XRP created, giving it a market value -- based just on its holdings -- of close to $80 billion. The company's revenue is unknown, although CEO Brad Garlinghouse told CNBC that some banks are paying the company millions of dollars for its software. Regardless, $80 billion is far ahead of where any reasonable investor would value the company. Ripple has placed limitations on how much XRP it can sell each month to remove the concern that it will suddenly flood the market with tokens. The company placed 55 billion of its XRP in a ""cryptographically-secured"" escrow account and can release up to 1 billion every month. Ripple has never come close to selling that amount in a month and said in December that it's averaged selling 300 million XRP a month since mid-2016. By selling a tiny fraction of its holdings each month, the company brought in over $90 million in the first three quarters of 2017.  Ripple hasn't released its fourth-quarter XRP report yet, but if it continued selling the same amount programmatically, as a percentage of overall XRP traded, it would have raised more than $75 million in the fourth quarter and another $150 million just in the first half of January. That doesn't include money made from direct sales.  The company can dial back how much XRP it puts on the market, so there's no reason to expect that it's reeling in hundreds of millions of dollars a quarter. But just having that ability puts Ripple in a cash position that's extremely rare -- particularly for a start-up with just 170 employees -- and gives it the flexibility to quickly bring in money for a pricey acquisition, fund an ambitious new project or invest in other start-ups.  Ripple executives just invested some of their XRP as part of a $25 million funding round in a storage start-up called Omni. ""In all likelihood, they need cash less than any other company on the planet,"" said Timothy Enneking, managing director of Crypto Asset Management, a crypto hedge fund in San Diego with about $70 million in assets.  Jeremy Liew of Lightspeed Venture Partners invested in Ripple in 2013, before the currency had any value and when the company was focused on consumer peer-to-peer payments. He doesn't have a board seat and isn't close to the company, but is suddenly looking at a potentially very valuable stake.  Figuring out exactly how to value that stake is no easy task: Lightspeed owns illiquid shares in a private company, whose soaring paper value is derived from a highly volatile asset that it plans to monetize in small chunks over the course of many years. ""It's absolutely unprecedented,"" said Liew, who's best known for his early bet on Snap. ""It hadn't been material until the end of last quarter, so now we have to think it through."" Seagate, through an investment in Ripple in 2016, could own a stake worth close to $8 billion, according to a report last week from Deep Value Research. The stock has rallied 20 percent since the report on Jan. 8, even though the company has said nothing about it publicly. While Ripple's ability to practically print money puts it in an admirable place, the start-up has attracted plenty of controversy in the world of cryptocurrencies and blockchain. Bitcoin is a decentralized currency that has to be mined to enter circulation and was created by a mysterious and still unidentified person using the pseudonym Satoshi Nakamoto.  The Ripple payment system, by contrast, is the creation of a single company that owns the majority of XRP and has control over when it hits the market.  Critics on Reddit and elsewhere comment on how crazy it is that Ripple just created a currency ""out of thin air."" Additionally, the currency is hardly being used, making it even more difficult to justify the price surge. Ripple's core product, xCurrent, is used by banks as a messaging solution that allows them to settle cross-border payments quickly. But they're not using XRP for that. A newer and still nascent Ripple product called xRapid allows financial institutions to convert fiat currencies to XRP quickly and cheaply, and transact digitally in real time.  Last week Ripple made its first significant customer announcement for xRapid. It said that MoneyGram will use the technology and XRP to speed up and reduce the cost of transferring money. Viamericas, a money transmitter focused on sending money to Latin America and Asia, said that that it's testing XRP. Ripple claims an average transaction on its network takes between two and three seconds to process. Bitcoin transactions take around 51 minutes on average, according to data by industry website Blockchain.info. ""Bitcoin showed us what's possible, but it's not going to solve every use case,"" said Garlinghouse, Ripple's CEO, who personally owns billions of dollars worth of combined Ripple equity and XRP at the current price. ""I'm personally long bitcoin, because I think it solves a problem around the store of value."" In other words, Garlinghouse sees bitcoin as a form of digital gold, attracting investors looking to diversify their holdings. But XRP has a specific use and, if he's right, it will be the way that financial firms transact over blockchain.  ""We're driving velocity and demand of XRP,"" Garlinghouse said. None of that makes it any easier to grasp the value of XRP, which helps explain the wild price swings. The best explanation for its surge is the increasing global interest in cryptocurrencies and the proliferation of online exchanges that make it possible to buy, sell and hold these types of assets.  Enneking said that for his Crypto Asset Management fund he recently shorted XRP, and he's been more bullish on bitcoin and ethereum. ""I have a tough time understanding, even if a lot of banks use Ripple to move billions of dollars, why does that increase the value of XRP?"" he said. ""I don't understand what drives price formation.""  If 2017 (and 2018 so far) has taught us anything about cryptocurrency, it's that extreme volatility is the norm. XRP could crash below 10 cents just as quickly as it soared past $3 for any number of reasons, or no reason at all. With that sort of risk, it would make sense for Ripple to maximize its monthly XRP sales and pad its cash position as much as possible. But Garlinghouse gave no indication that he's pushing in that direction. ""For everything I do, I think what is in the best interest of the XRP ecosystem,"" he said.  Correction: A previous version of this story mistakenly said GV and Andreessen Horowitz participated in the 2016 round, instead of noting that they were earlier investors. It also incorrectly said Ripple created XRP currency, but it actually started the payment system.    Playing Share this video... Watch Next...",https://www.cnbc.com/2018/01/16/why-ripple-is-not-cashing-out-its-xrp-holdings.html
2018-01-16 16:05:00,Ripple,cnbc,Ripple tumbles more than 40 percent to start 2018,"After stealing the spotlight from bitcoin in 2017, ripple has fallen more than 40 percent in the first few weeks of 2018.  Ripple, or XRP, traded near $1.22 Tuesday afternoon, down nearly 47 percent for the year so far, according to CoinMarketCap. The digital currency had soared more than 35,500 percent in 2017 to end the year at $2.30, the website showed.  In contrast, bitcoin had climbed about 1,500 percent last year and was trading 16 percent lower for 2018, near $11,500, according to CoinDesk, as of Tuesday afternoon.  The latest ripple prices on CoinMarketCap still exclude prices from some South Korean exchanges, where ripple trades about 20 cents higher. The cryptocurrency data site said on Jan. 8 it was excluding the prices due to ""extreme divergences in price from the rest of the world."" As of Tuesday, ripple had a market capitalization of $48 billion as the third-largest cryptocurrency, according to CoinMarketCap. Ripple 12-month performance  Source: CoinMarketCap Ripple is officially the name of a San Francisco-based start-up that is developing a payments network for financial institutions. XRP is the name of the digital coin participants can use for transactions.  Some analysts have cautioned that investors may be overenthusiastic about the potential use of XRP.  While Ripple has said more than 100 financial institutions are using its network, only one bank — Cuallix — has been named as using XRP. On Thursday, money transfer company MoneyGram announced it would test XRP for payments. The press release did not list a start date or time frame for the pilot.  Ripple did not immediately respond to a CNBC request for comment.  ",https://www.cnbc.com/2018/01/16/ripple-tumbles-more-than-40-percent-to-start-2018.html
2018-01-18 05:45:00,Ripple,cnbc,Cryptocurrency prices edge higher with ripple bouncing back 65% after ‘severe’ sell-off,"Major digital currencies edged higher on Thursday, after a two-day sell-off saw the world's biggest cryptocurrency bitcoin lose more than 50 percent from its December high. Bitcoin and ethereum — the first and second largest virtual currencies by market value — appeared to recover after Wednesday's lows. Bitcoin fell as low as $9,199.59 on Wednesday morning, but bounced back to $11,702.74 as of Thursday at 12:00 p.m. ET, according to CoinDesk, which tracks prices from cryptocurrency exchanges including Bitstamp, Coinbase, itBit and Bitfinex. It was up 5 percent in the last 24 hours. The red-hot digital asset also broke the $12,000 level, hitting $12,045.10 at about 10:14 a.m. Ethereum on the other hand dived below the $800 mark to a three-week low of $780.92 Wednesday, but lifted to $1,072.57 the following day. It was more than 5 percent higher in the last 24 hours. Ripple's XRP, which is also known as ripple, surged 65 percent to $1.64 a coin, according to data from CoinMarketCap. The digital currency — which is controversial among crypto enthusiasts due the firm behind it being backed by big banks — fell as low as 90 cents the previous day. Experts told CNBC earlier this week that investors had been ""spooked"" by news of regulatory crackdowns from both South Korea and China. South Korea — one of the largest markets for cryptocurrencies — has reportedly been considering the shutdown of trading through cryptocurrency exchanges. On Thursday, the country's policymakers said they were considering closing all domestic virtual currency exchanges, echoing a move last year from Chinese regulators. China, separately, is reported to be deepening its clampdown of its digital currency market. According to reports from Bloomberg and Reuters, the country is planning to ban the centralized trading of digital currencies. ""Trade volumes were very noisy yesterday as the bulls and bears fought it out and some sort of calm has appeared on the markets after what has been a severe correction,"" Charles Hayter, CEO of digital currency comparison site CryptoCompare, told CNBC in an email Thursday. ""New has a lot to play with this,"" Hayter said, adding, ""this market is now big and governments are sensing revenue for the coffers as well as a threat in some degrees. This will catalyze regulation where regimes who legislate severely will balkanise themselves to the industry."" Hayter said that regulation of cryptocurrencies ""will be good in the long run,"" but warned that ""unnecessary hoops and bureaucracy"" could inhibit the industry's potential. Regulators have expressed concerns over digital assets due to their extremely volatile nature and worries that they could be used for illicit activity. Mati Greenspan, senior market analyst at eToro, said: ""Now that the reasons for the recent sell-off are more clear to everyone and the slightly sour regulatory concerns have been priced in and the Asian premiums are evening out, traders will most likely start focusing on the technicals."" Greenspan told CNBC Tuesday that South Korean and Japanese investors often pay a premium of ""20 percent or more per coin."" Nolan Bauerle, director of research at CoinDesk, said that the sell-off was ""a feature of the global, liquid cryptocurrency trading environment."" ""When the price of bitcoin drops, there is a pattern of traders that move to take different positions, either in another cryptocurrency or in fiat,"" he told CNBC. ""These large drops, usually between the 25-40 percent range, generally find a bottom that is a consolidation of a previous all time high. When this bottom is found, the pattern continues with demand causing a new upward bounce."" Disclaimer: This story has been amended to reflect the fact that bitcoin lost more than 50 percent from its December high.  Playing Share this video... Watch Next...",https://www.cnbc.com/2018/01/18/bitcoin-ethereum-and-ripple-make-comeback-after-crypto-sell-off.html
2018-01-11 10:06:00,Ripple,cnbc,Ripple surges after teaming up with MoneyGram on cryptocurrency-enabled payments,"U.S. money transfer giant MoneyGram is teaming up with blockchain firm Ripple to test payments using the latter's cryptocurrency. MoneyGram, based in Dallas, Texas, will use the XRP cryptocurrency to speed up and reduce the cost of transferring money through Ripple's payment network xRapid. XRP was seen surging on the news, and flew almost 15 percent higher to $2.22 at 9:55 a.m. ET, according to Coinmarketcap data. The move marked a recovery following downward pressure across most major cryptocurrencies Thursday after reports of South Korea preparing a bill to ban cryptocurrency trading. Ripple claims an average transaction on its network takes between two and three seconds to process. Bitcoin transactions, on the other hand, take around 51 minutes on average to go through, according to data by industry website Blockchain.info. Ripple has made headlines in recent weeks, as its native digital currency has surged — and fallen — dramatically. It temporarily became the second-largest cryptocurrency by market value last month, usurping ethereum, after a huge rally. XRP declined significantly after that rally but Ripple said its price has not been reflected accurately, claiming that industry website Coinmarketcap's decision to remove Korean cryptocurrency exchanges from its platform has affected prices. The website removed Korean exchanges due to the ""extreme divergence"" in prices compared to the rest of the world. ""The inefficiencies of global payments don't just affect banks, they also affect institutions like MoneyGram,"" Ripple CEO Brad Garlinghouse said in a statement Thursday. ""Money transfer companies are incredibly important because they help people get money to their friends and loved ones."" Garlinghouse added that, by using Ripple's digital asset, MoneyGram would be able to move money ""as quickly as information."" Ripple is backed by a number of big international banks and financial institutions. In November, the firm teamed up with American Express and Santander on a blockchain pilot to speed up cross-border payments between the U.K. and the U.S.  Playing Share this video... Watch Next...",https://www.cnbc.com/2018/01/11/moneygram-to-test-payments-with-ripple-xrp-cryptocurrency.html
2017-10-10 09:00:00,Ripple,cnbc,Start-up Ripple has over 100 clients as mainstream finance warms to blockchain,"Ripple has signed up several new financial institutions to its blockchain network, bringing its clientele to more than 100. The financial technology start-up is the owner of XRP, the third most valuable cryptocurrency behind rivals bitcoin and ethereum, according to data from CoinMarketCap. Its distributed ledger network, RippleNet, has been joined by the likes of United Arab Emirates (UAE)-based lender RAKBANK and U.K.-based currency exchange firm IFX. It has also cleared a payments path into South America by signing up online payment provider dLocal. Blockchains are huge encrypted groupings of data dispersed across the globe that record information on digital currency transactions. People are able to exchange digital assets across these distributed ledgers without friction as they are not governed by intermediaries such as governments and central banks. Ripple hopes its latest round of financial customers will allow it to undermine the dominance of banks and corporations over financial transactions. ""The global payments industry really has been ruled by an oligopoly, led by players like JPMorgan and Citi,"" Ripple CEO Brad Garlinghouse told CNBC during a phone call Monday. He referred to criticisms leveled at cryptocurrencies like bitcoin by business leaders such as Jamie Dimon and Ray Dalio. ""It's certainly not that surprising to see Jamie Dimon's comments recently on bitcoin given that they (JPMorgan) control that oligopoly."" Dimon called bitcoin a ""fraud"" that will eventually ""blow up."" One of Ripple's new corporate customers, Mexican non-bank financial services firm Cuallix, will be the first institution to trial Ripple's cryptocurrency, the firm said Tuesday. Ripple claims its digital asset XRP is among the most liquid due its low transaction fees and instant payments. Banks and corporations are currently required to pre-fund local currency accounts around the world to be able to send payments quickly. By using Ripple's virtual currency, Cuallix will be able to lower the cost of payments from the U.S. to Mexico, Garlinghouse said. ""I think we're really at a tipping point for the blockchain industry,"" he said. The start-up already has interest from big-name clients including Santander, UniCredit, UBS and Standard Chartered. It announced the addition of Spain's BBVA and Japan's MUFG to its blockchain platform earlier this year.  Playing Share this video... Watch Next...",https://www.cnbc.com/2017/10/10/ripple-has-over-100-clients-as-mainstream-finance-warms-to-blockchain.html
2017-12-14 16:00:00,Ripple,cnbc,"Ripple surges 89% in single day, briefly becomes third-biggest digital currency","Ripple is vying with bitcoin cash to be the third-largest cryptocurrency by market value. Ripple, or XRP, surged 89 percent Thursday to a record high of 89.2 cents and was last trading near 81 cents, giving it a market value of $31.6 billion, according to CoinMarketCap. Those gains temporarily pushed ripple's market value past that of bitcoin's offshoot bitcoin cash, and into third place just behind the largest digital currencies, bitcoin and ethereum, according to CoinMarketCap. The website showed bitcoin cash had regained third place by late Thursday afternoon, with a market value of $32.1 billion.  Ripple surpassed the market value of litecoin on Wednesday after starting the week in fifth place by cryptocurrency market capitalization, according to CoinMarketCap.  Ripple seven-day performance  Source: CoinMarketCap Ripple is officially the name of a startup using blockchain technology to develop a payments network for banks, digital asset exchanges and other financial institutions. XRP is the digital coin network participants use for transactions. Interest from South Korean investors helped drive ripple's latest gains, just as they have helped send ethereum higher. In the last 24 hours, trading in South Korean won occasionally accounted for more than 40 percent of ripple trading volume, according to CryptoCompare. Nikkei reported Wednesday Japan time that banks in Japan and South Korea began testing Ripple's blockchain technology on Friday. The cross-border trials are set to run through Jan. 31, and if all goes well, the banks plan to send money using Ripple's XRP digital currency, according to the report. ""In a landscape of a lot of hype, Ripple is the one that is delivering a reality,"" Brad Garlinghouse, CEO of Ripple, said in a phone interview with CNBC.   Ripple has gained traction in the last several months. In October, Ripple announced that more than 100 financial institutions use its blockchain network. The following month, the company said American Express FX International Payments and Santander would use Ripple's network for cross-border payments between the U.S. and the UK.  At the end of November, TechCrunch founder Mike Arrington announced he is launching a $100 million ""cryptofund"" that will be denominated in XRP.  Playing Share this video... Watch Next...",https://www.cnbc.com/2017/12/14/ripple-surges-89-percent-in-single-day-briefly-becomes-third-biggest-digital-currency.html
