Date,Positive Sentiment Averaged,Negative Sentiment Averaged,Overall Sentiment Averaged,Positive Sentiment Summed,Negative Sentiment Summed,Overall Sentiment Summed,Positive Sentiment RMS,Negative Sentiment RMS,Overall Sentiment RMS,XRP_Change,XRP_High,XRP_Low,XRP_Open,XRP_Price,XRP_Vol,BTC_Change,BTC_High,BTC_Low,BTC_Open,BTC_Price,BTC_Vol,ETH_Change,ETH_High,ETH_Low,ETH_Open,ETH_Price,ETH_Vol,ten day percent change,thirty day percent change,binned price
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.59,0.185,0.1585,0.163,0.1704,26820.0,-4.37,2901.6,2615.8,2854.3,2731.2,42.31,12.53,232.59,200.8,200.81,225.97,352.31,0.0,0.0,3
2017-08-02,0.1768707482993197,-0.07256235827664399,0.10430839002267571,0.1768707482993197,-0.07256235827664399,0.10430839002267571,0.1768707482993197,-0.07256235827664399,0.10430839002267571,2.46,0.18,0.168,0.1786,0.1746,11470.0,-1.07,2757.8,2640.0,2733.8,2702.0,23.76,-3.53,229.7,215.0,225.97,218.0,159.47,0.024647887323943716,0.024647887323943716,3
2017-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.57,0.1772,0.1688,0.1704,0.1736,4590.0,3.27,2813.0,2698.0,2702.0,2790.3,16.86,3.11,228.2,217.07,218.0,224.79,96.19,0.018779342723004744,0.018779342723004744,3
2017-08-04,0.1636155606407323,-0.10297482837528604,0.06064073226544625,0.1636155606407323,-0.10297482837528604,0.06064073226544625,0.1636155606407323,-0.10297482837528604,0.06064073226544625,5.99,0.17800000000000002,0.171,0.1746,0.184,7210.0,2.5,2874.8,2762.6,2790.3,2860.0,18.99,-1.81,228.3,218.66,224.79,220.73,83.46,0.07981220657276997,0.07981220657276997,3
2017-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.01,0.192,0.171,0.1736,0.1803,20380.0,13.86,3331.9,2855.0,2860.0,3256.4,50.56,15.01,259.9,219.23,220.73,253.87,234.87,0.05809859154929573,0.05809859154929573,3
2017-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,0.1898,0.1765,0.184,0.179,12150.0,-0.88,3309.8,3156.0,3255.0,3227.9,16.95,4.1,271.5,251.0,253.87,264.29,209.86,0.050469483568075096,0.050469483568075096,3
2017-08-07,0.06887052341597796,-0.09917355371900824,-0.030303030303030276,0.06887052341597796,-0.09917355371900824,-0.030303030303030276,0.06887052341597796,-0.09917355371900824,-0.030303030303030276,9.44,0.183,0.1763,0.1803,0.1959,10480.0,5.23,3440.0,3190.0,3232.5,3396.7,24.54,1.98,274.6,257.32,264.29,269.51,146.17,0.14964788732394363,0.14964788732394363,3
2017-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.38,0.2,0.1768,0.179,0.1834,31910.0,0.54,3482.9,3343.8,3395.0,3415.0,31.72,9.77,299.5,265.0,269.51,295.83,207.56,0.07629107981220665,0.07629107981220665,3
2017-08-09,0.08108108108108109,-0.08108108108108109,0.0,0.08108108108108109,-0.08108108108108109,0.0,0.08108108108108109,-0.08108108108108109,0.0,-1.42,0.1959,0.18,0.1959,0.1808,13380.0,-2.2,3424.4,3236.8,3415.0,3339.9,26.25,-0.62,316.0,277.0,295.83,293.99,400.2,0.061032863849765216,0.061032863849765216,3
2017-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,0.185,0.177,0.1834,0.1775,11260.0,2.04,3444.4,3310.0,3340.2,3407.9,19.13,0.67,310.05,287.6,293.99,295.97,155.41,0.04166666666666664,0.04166666666666664,3
2017-08-11,0.09408602150537633,-0.06720430107526881,0.026881720430107517,0.09408602150537633,-0.06720430107526881,0.026881720430107517,0.09408602150537633,-0.06720430107526881,0.026881720430107517,-3.15,0.1834,0.1753,0.1808,0.1719,10870.0,6.93,3690.6,3380.0,3404.7,3644.1,26.43,4.34,310.42,294.0,295.97,308.81,130.15,-0.015463917525773242,0.008802816901408458,3
2017-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.37,0.1828,0.1704,0.1775,0.1661,13180.0,6.08,3965.4,3590.0,3643.4,3865.5,37.66,-0.51,319.78,299.0,308.81,307.22,160.55,-0.04320276497695856,-0.025234741784037548,2
2017-08-13,0.0663157894736842,-0.18526315789473685,-0.11894736842105265,0.0663157894736842,-0.18526315789473685,-0.11894736842105265,0.0663157894736842,-0.18526315789473685,-0.11894736842105265,0.96,0.1719,0.1585,0.1719,0.1677,20080.0,4.86,4183.7,3836.1,3866.2,4053.3,48.16,-3.44,308.0,285.21,307.22,296.64,166.56,-0.08858695652173917,-0.01584507042253526,3
2017-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.78,0.1801,0.165,0.1661,0.158,10230.0,6.57,4330.3,3969.3,4061.6,4319.5,34.22,0.53,306.48,293.99,296.64,298.22,106.08,-0.12368275097060448,-0.07276995305164316,2
2017-08-15,0.7,0.0,0.7,0.7,0.0,0.7,0.7,-0.0,0.7,1.77,0.1677,0.1521,0.1677,0.1608,18860.0,-3.88,4430.0,3841.9,4321.0,4151.9,64.13,-4.1,299.91,272.29,298.22,286.0,179.77,-0.10167597765363126,-0.05633802816901407,2
2017-08-16,0.1111111111111111,-0.04444444444444445,0.06666666666666665,0.1111111111111111,-0.04444444444444445,0.06666666666666665,0.1111111111111111,-0.04444444444444445,0.06666666666666665,-1.74,0.1608,0.1486,0.158,0.158,16040.0,5.65,4403.6,3928.1,4160.0,4386.3,35.29,5.36,304.0,279.94,286.0,301.34,150.43,-0.19346605410923937,-0.07276995305164316,2
2017-08-17,0.35714285714285715,0.0,0.35714285714285715,0.35714285714285715,0.0,0.35714285714285715,0.35714285714285715,-0.0,0.35714285714285715,-0.63,0.161,0.153,0.1608,0.157,11830.0,-2.88,4489.1,4178.1,4386.4,4260.0,40.3,-0.78,312.0,297.01,301.34,299.0,133.09,-0.1439476553980371,-0.07863849765258213,2
2017-08-18,0.1111111111111111,-0.18888888888888888,-0.07777777777777778,0.1111111111111111,-0.18888888888888888,-0.07777777777777778,0.1111111111111111,-0.18888888888888888,-0.07777777777777778,-2.87,0.17,0.151,0.158,0.1525,19650.0,-3.99,4359.0,3957.0,4269.7,4090.2,46.8,-2.34,307.0,286.0,299.0,292.0,165.16,-0.15652654867256632,-0.10504694835680752,2
2017-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.162,0.14800000000000002,0.157,0.1591,14310.0,1.34,4184.1,3920.0,4088.2,4145.1,41.77,0.27,298.51,280.0,292.0,292.78,158.37,-0.10366197183098592,-0.06631455399061036,2
2017-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.56,0.1617,0.1493,0.1525,0.195,12010.0,-1.95,4192.0,4040.9,4145.0,4064.3,25.1,1.91,299.0,286.96,292.78,298.37,86.96,0.13438045375218155,0.14436619718309865,3
2017-08-21,0.3323308270676692,-0.006015037593984962,0.3263157894736842,0.3323308270676692,-0.006015037593984962,0.3263157894736842,0.3323308270676692,-0.006015037593984962,0.3263157894736842,24.1,0.2065,0.1511,0.1591,0.242,54920.0,-1.52,4093.5,3956.4,4066.3,4002.5,26.61,8.0,346.99,294.53,298.37,322.24,329.81,0.45695364238410596,0.42018779342723006,4
2017-08-22,0.24486373165618447,-0.11886792452830187,0.1259958071278826,0.48972746331236894,-0.23773584905660375,0.2519916142557652,0.3158966729765634,-0.168104630999066,0.14779204197749737,1.65,0.259,0.1711,0.195,0.24600000000000002,91200.0,1.79,4140.0,3600.0,3998.9,4074.0,61.72,-3.01,329.96,285.01,322.24,312.54,244.94,0.4669051878354206,0.4436619718309861,4
2017-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.75,0.2995,0.2155,0.242,0.2171,102070.0,1.35,4248.6,4055.9,4086.9,4129.1,27.49,1.27,325.0,311.65,312.54,316.5,115.09,0.3740506329113923,0.2740610328638497,3
2017-08-24,0.4375,-0.008928571428571428,0.42857142857142855,0.4375,-0.008928571428571428,0.42857142857142855,0.4375,-0.008928571428571428,0.42857142857142855,-0.55,0.2869,0.21,0.24600000000000002,0.2159,74210.0,4.75,4370.8,4093.0,4135.0,4325.2,22.04,2.88,329.56,314.14,316.5,325.62,93.42,0.34266169154228865,0.2670187793427231,3
2017-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.96,0.231,0.2027,0.2171,0.2095,36120.0,0.61,4461.2,4277.4,4324.1,4351.5,27.76,0.95,338.25,324.04,325.62,328.7,108.0,0.32594936708860756,0.2294600938967136,3
2017-08-26,0.2135265700483092,-0.11594202898550725,0.09758454106280194,0.2135265700483092,-0.11594202898550725,0.09758454106280194,0.2135265700483092,-0.11594202898550725,0.09758454106280194,-3.77,0.231,0.20600000000000002,0.2159,0.2016,16760.000000000004,-0.23,4364.0,4243.6,4351.5,4341.7,14.8,1.22,334.6,324.5,328.7,332.72,90.18,0.2840764331210191,0.1830985915492958,3
2017-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.2103,0.1925,0.2095,0.2253,20640.0,-0.23,4405.7,4305.0,4340.2,4331.8,11.16,4.6,348.01,331.88,332.72,348.01,103.44,0.4773770491803279,0.3221830985915493,4
2017-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.57,0.2461,0.1941,0.2016,0.2195,53160.0,1.2,4395.2,4175.7,4330.7,4383.8,21.22,-0.26,352.0,332.74,348.01,347.09,111.21,0.37963544940289135,0.2881455399061033,3
2017-08-29,0.20401046207497825,-0.09067131647776808,0.11333914559721017,0.20401046207497825,-0.09067131647776808,0.11333914559721017,0.20401046207497825,-0.09067131647776808,0.11333914559721017,5.51,0.226,0.212,0.2253,0.2316,23630.0,4.64,4644.2,4336.7,4385.1,4587.1,32.7,7.18,375.98,346.42,347.09,372.0,180.48,0.18769230769230766,0.3591549295774648,4
2017-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.74,0.2331,0.2167,0.2195,0.2588,15150.0,-0.39,4641.1,4481.1,4586.6,4569.0,17.07,2.9,390.1,365.1,372.0,382.78,188.64,0.06942148760330571,0.5187793427230046,4
2017-08-31,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,-1.97,0.265,0.2272,0.2316,0.2537,28800.0,3.27,4749.9,4567.9,4567.9,4718.2,18.47,1.18,390.0,380.1,382.78,387.3,98.59,0.0313008130081299,0.4530355097365405,4
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.9,0.26,0.2434,0.2588,0.2235,28620.0,3.96,4927.4,4660.7,4718.3,4904.9,28.71,0.79,395.03,383.6,387.3,390.35,131.8,0.02947950253339483,0.28744239631336405,4
2017-09-02,0.13227513227513227,-0.021164021164021163,0.1111111111111111,0.13227513227513227,-0.021164021164021163,0.1111111111111111,0.13227513227513227,-0.021164021164021163,0.1111111111111111,2.91,0.2538,0.2135,0.2537,0.23,40900.0,-7.55,4969.0,4400.5,4911.8,4534.4,55.03,-11.62,390.77,325.1,390.35,345.0,308.36,0.06530801296896711,0.25000000000000006,4
2017-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.96,0.2382,0.215,0.2235,0.2025,19110.0,1.34,4699.8,4331.0,4534.2,4595.0,33.56,1.63,368.4,328.33,345.0,350.63,212.17,-0.03341288782816219,0.12312811980033293,3
2017-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17,0.2304,0.185,0.23,0.215,36810.0,-8.59,4606.0,4056.5,4599.2,4200.4,59.08,-15.63,351.59,275.0,350.63,295.81,569.73,0.06646825396825394,0.20111731843575423,3
2017-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44,0.22,0.1881,0.2025,0.231,27240.0,4.15,4469.9,3900.1,4210.6,4374.9,57.73,6.89,323.17,267.64,295.81,316.18,381.67,0.025299600532623215,0.17917304747320073,4
2017-09-06,0.07236842105263158,-0.18045112781954886,-0.10808270676691728,0.07236842105263158,-0.18045112781954886,-0.10808270676691728,0.07236842105263158,-0.18045112781954886,-0.10808270676691728,-1.95,0.2328,0.2139,0.215,0.2265,19740.0,4.9,4631.4,4361.4,4375.0,4589.1,39.0,6.7,339.5,314.81,316.18,337.36,230.11,0.031890660592255156,0.23500545256270447,4
2017-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.53,0.2317,0.2197,0.231,0.2117,12490.0,0.53,4672.8,4465.3,4594.6,4613.5,23.13,-0.97,338.66,321.1,337.36,334.1,166.57,-0.08592400690846287,0.17090707964601776,3
2017-09-08,0.2464413591523566,-0.08635367190354404,0.16008768724881256,0.9857654366094264,-0.34541468761417615,0.6403507489952502,0.28563274596236643,-0.12122505025701771,0.16440769570534872,0.33,0.22899999999999998,0.1965,0.2265,0.2124,21630.0,-6.67,4686.2,4107.1,4613.5,4305.8,60.93,-9.01,334.58,291.0,334.1,304.0,309.62,-0.1792890262751158,0.19661971830985925,3
2017-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.2144,0.2067,0.2117,0.2162,8700.0,0.28,4381.2,4159.4,4304.0,4317.9,31.11,-0.3,307.08,291.46,304.0,303.08,169.79,-0.14781237682301923,0.2577079697498546,3
2017-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.06,0.22399999999999998,0.1975,0.2124,0.2139,16610.0,-1.99,4325.0,3975.8,4315.4,4232.1,45.87,-1.71,305.0,276.11,303.08,297.9,254.7,-0.04295302013422818,0.2877784467188441,3
2017-09-11,0.18142414860681114,-0.11294117647058823,0.06848297213622291,0.3628482972136223,-0.22588235294117645,0.13696594427244582,0.2257626237464065,-0.15972294351507896,0.06603968023132753,-2.1,0.2215,0.2086,0.2162,0.2094,15090.0,-0.69,4373.1,4123.0,4234.9,4203.0,30.9,-0.24,308.0,287.33,297.9,297.19,174.01,-0.08956521739130438,0.2486583184257604,3
2017-09-12,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,-0.0,0.16666666666666666,-5.44,0.2245,0.2052,0.2139,0.198,17510.0,-1.43,4378.4,4055.5,4198.9,4142.9,40.04,-1.11,316.73,283.0,297.19,293.9,261.52,-0.02222222222222224,0.2531645569620254,3
2017-09-13,0.03409090909090909,-0.3068181818181818,-0.2727272727272727,0.03409090909090909,-0.3068181818181818,-0.2727272727272727,0.03409090909090909,-0.3068181818181818,-0.2727272727272727,-13.74,0.2099,0.1902,0.2094,0.1708,14950.0,-7.08,4159.6,3734.0,4149.4,3849.7,71.51,-6.27,294.16,256.0,293.9,275.48,449.34,-0.20558139534883715,0.062189054726368216,3
2017-09-14,0.17391304347826084,0.0,0.17391304347826084,0.17391304347826084,0.0,0.17391304347826084,0.17391304347826084,-0.0,0.17391304347826084,7.85,0.2,0.166,0.198,0.1842,30050.0,-15.89,3917.2,3206.2,3850.2,3238.1,127.51,-19.23,281.01,221.71,275.48,222.5,642.98,-0.20259740259740264,0.16582278481012658,3
2017-09-15,0.13725490196078433,-0.12745098039215685,0.009803921568627472,0.13725490196078433,-0.12745098039215685,0.009803921568627472,0.13725490196078433,-0.12745098039215685,0.009803921568627472,-1.19,0.1924,0.1455,0.1708,0.182,42230.0,14.2,3809.0,2981.0,3237.4,3698.0,183.11,16.26,269.0,198.0,222.5,258.68,954.56,-0.19646799116997798,0.15923566878980888,3
2017-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,0.1919,0.1729,0.1842,0.1812,15120.0,-0.34,3874.0,3511.1,3697.1,3685.4,70.74,-2.2,270.0,242.2,258.68,253.0,308.48,-0.14407179971658007,0.18819672131147544,3
2017-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,0.184,0.1711,0.182,0.1932,7170.0,-0.52,3775.9,3476.3,3680.1,3666.3,37.05,1.58,263.69,239.0,253.0,257.0,195.92,-0.09039548022598867,0.21433060967944703,3
2017-09-18,0.031746031746031744,-0.3148148148148148,-0.2830687830687831,0.031746031746031744,-0.3148148148148148,-0.2830687830687831,0.031746031746031744,-0.3148148148148148,-0.2830687830687831,-4.45,0.1943,0.1808,0.1812,0.1846,17220.0,11.4,4113.9,3667.0,3667.0,4084.1,58.98,15.49,299.89,257.0,257.0,296.81,378.67,-0.14616096207215548,-0.053333333333333434,3
2017-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.63,0.1943,0.182,0.1932,0.1816,9350.0,-4.51,4110.0,3836.2,4084.4,3900.0,47.77,-4.78,299.0,275.0,296.81,282.63,268.88,-0.1510051425899953,-0.24958677685950406,3
2017-09-20,0.0392156862745098,-0.29411764705882354,-0.2549019607843137,0.0392156862745098,-0.29411764705882354,-0.2549019607843137,0.0392156862745098,-0.29411764705882354,-0.2549019607843137,-5.84,0.1884,0.1805,0.1846,0.171,5380.0,-0.69,4048.0,3834.1,3892.2,3873.2,33.21,0.31,294.0,277.0,282.63,283.5,146.38,-0.18338108882521484,-0.3048780487804878,3
2017-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.1835,0.1686,0.1816,0.1729,7180.0,-6.97,3903.7,3564.4,3875.5,3603.4,56.98,-9.46,287.53,251.52,283.5,256.67,292.98,-0.1267676767676768,-0.20359281437125745,3
2017-09-22,0.09230769230769233,-0.19615384615384615,-0.10384615384615382,0.09230769230769233,-0.19615384615384615,-0.10384615384615382,0.09230769230769233,-0.19615384615384615,-0.10384615384615382,3.7,0.1771,0.166,0.171,0.1793,4850.0,-0.14,3743.6,3493.5,3597.3,3598.5,49.24,2.15,269.5,253.03,256.67,262.19,183.77,0.049765807962529156,-0.16952292728114876,3
2017-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.45,0.1804,0.1699,0.1729,0.1749,11860.0,5.03,3808.0,3559.1,3598.7,3779.6,25.64,9.04,287.2,259.01,262.19,285.9,162.98,-0.05048859934853422,-0.16515513126491643,3
2017-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09,0.18,0.1726,0.1793,0.1838,3930.0,-3.35,3781.3,3620.0,3779.6,3652.8,20.88,-1.36,294.54,275.41,285.9,282.0,196.56,0.009890109890109869,-0.08829365079365084,3
2017-09-25,0.15026132404181186,-0.11759581881533099,0.03266550522648087,0.15026132404181186,-0.11759581881533099,0.03266550522648087,0.15026132404181186,-0.11759581881533099,0.03266550522648087,2.77,0.1869,0.1745,0.1749,0.1889,6870.0,7.59,3977.0,3654.7,3654.7,3930.0,40.15,4.68,297.93,281.8,282.0,295.2,186.37,0.04249448123620316,-0.16156236129604964,3
2017-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.22,0.1943,0.18100000000000002,0.1838,0.2101,9690.0,-1.3,3983.0,3850.9,3930.0,3879.1,21.41,-2.01,296.38,285.2,295.2,289.28,104.72,0.08747412008281572,-0.04282460136674256,3
2017-09-27,0.14,-0.14,0.0,0.14,-0.14,0.0,0.14,-0.14,0.0,-3.76,0.2156,0.1877,0.1889,0.2022,21350.0,8.41,4226.5,3878.1,3881.6,4205.4,48.62,7.08,315.51,286.93,289.28,309.75,213.82,0.09534127843987002,-0.12694300518134718,3
2017-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.57,0.2109,0.1965,0.2101,0.19699999999999998,15340.0,-0.37,4268.6,4125.0,4207.5,4190.0,36.57,-2.3,310.69,297.75,309.75,302.63,140.29,0.08480176211453727,-0.23879443585780524,3
2017-09-29,0.17368421052631575,-0.10105263157894737,0.07263157894736838,0.17368421052631575,-0.10105263157894737,0.07263157894736838,0.17368421052631575,-0.10105263157894737,0.07263157894736838,1.02,0.2022,0.1879,0.2022,0.19899999999999998,11890.0,-0.48,4244.6,4024.7,4190.0,4169.9,38.94,-3.29,303.9,280.5,302.63,292.66,276.12,0.16374269005847933,-0.21560898699251085,3
2017-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,0.2065,0.195,0.19699999999999998,0.2089,6450.0,4.73,4393.4,4160.1,4168.1,4367.0,31.5,3.68,307.76,292.3,292.66,303.44,131.2,0.20821283979178717,-0.06532438478747205,3
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.68,0.2089,0.1964,0.19899999999999998,0.2033,3970.0,0.85,4420.5,4257.7,4366.6,4404.3,29.23,0.27,305.57,295.0,303.44,304.26,110.1,0.13385387618516464,-0.11608695652173913,3
2017-10-02,0.04985754985754985,-0.16951566951566951,-0.11965811965811966,0.04985754985754985,-0.16951566951566951,-0.11965811965811966,0.04985754985754985,-0.16951566951566951,-0.11965811965811966,-0.15,0.2099,0.2,0.2089,0.203,5520.0,-0.1,4482.0,4359.8,4404.3,4400.1,29.08,-2.45,304.63,292.1,304.26,296.82,133.99,0.16066323613493433,0.002469135802469138,3
2017-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,0.2062,0.1975,0.2033,0.2148,6050.0,-2.02,4439.9,4222.0,4399.3,4311.1,28.54,-1.73,300.5,285.93,296.82,291.69,129.15,0.1686615886833515,-0.0009302325581395615,3
2017-10-04,0.33108924071696855,-0.05890505396282033,0.27218418675414824,0.9932677221509056,-0.17671516188846098,0.8165525602624446,0.3930817693535423,-0.09887108616369436,0.2942106831898479,10.38,0.2173,0.2011,0.203,0.2371,10070.0,-2.23,4353.8,4177.7,4310.6,4215.1,26.37,-0.1,296.0,287.56,291.69,291.4,112.7,0.255161461090524,0.026406926406926382,4
